model,total_time,total_tokens,input_tokens,output_tokens,cached_write_tokens,cached_read_tokens,avg_sample_duration_s,p95_sample_duration_s,p50_sample_duration_s,strict_instruction_accuracy,strict_instruction_stderr,strict_prompt_accuracy,strict_prompt_stderr,loose_instruction_accuracy,loose_instruction_stderr,loose_prompt_accuracy,loose_prompt_stderr,retries,input_unit_cost,output_unit_cost,total_cost
openai-api/clarifai/https://clarifai.com/openai/chat-completion/models/gpt-oss-120b,0:03:14,601955,41918,560037,0,0,5.96,21.38,2.85,0.602,0.026,0.557,0.029,0.663,0.025,0.623,0.028,0,0.09,0.36,0.20538594
fireworks/accounts/fireworks/models/gpt-oss-120b,1:11:42,519465,43418,476047,0,19563,72.4,210.38,23.06,0.616,0.026,0.58,0.028,0.689,0.025,0.657,0.027,0,0.15,0.6,0.2921409
openai-api/google/openai/gpt-oss-120b-maas,0:07:09,565936,41918,524018,0,4672,14.23,41.84,10.2,0.616,0.026,0.577,0.029,0.654,0.026,0.617,0.028,0,0.09,0.36,0.1924191
nebius/openai/gpt-oss-120b,0:07:52,523861,42518,481343,0,0,15.46,45.16,11.97,0.605,0.026,0.567,0.029,0.66,0.026,0.63,0.028,0,0.15,0.6,0.2951835
together/openai/gpt-oss-120b,0:04:23,413402,41918,371484,0,0,8.53,15.85,8.5,0.506,0.027,0.507,0.029,0.547,0.027,0.55,0.029,0,0.15,0.6,0.2291781
baseten/openai/gpt-oss-120b,0:26:07,487766,45218,442548,0,0,41.79,119.08,16.15,0.567,0.027,0.55,0.029,0.628,0.026,0.617,0.028,0,0.1,0.5,0.2257958
groq/openai/gpt-oss-120b,0:01:29,415583,43118,372465,0,0,2.86,4.74,2.78,0.485,0.027,0.483,0.029,0.535,0.027,0.54,0.029,0,0.15,0.6,0.2299467
novita/openai/gpt-oss-120b,0:30:35,562762,41625,521137,0,0,59.56,132.09,55.65,0.61,0.026,0.57,0.029,0.66,0.026,0.627,0.028,0,0.05,0.25,0.1323655
deepinfra/openai/gpt-oss-120b,0:12:10,588187,38018,550169,0,0,24.15,87.43,12.0,0.596,0.026,0.557,0.029,0.657,0.026,0.62,0.028,0,0.04,0.19,0.10605283
openai-api/atlascloud/openai/gpt-oss-120b,0:09:14,611892,41918,569974,0,0,17.08,54.36,10.92,0.59,0.027,0.55,0.029,0.651,0.026,0.62,0.028,0,0.1,0.2,0.1181866
siliconflow/openai/gpt-oss-120b,0:25:12,566278,41918,524360,0,0,48.1,179.9,20.92,0.593,0.026,0.557,0.029,0.669,0.025,0.64,0.028,0,0.05,0.45,0.2380579
parasail/openai/gpt-oss-120b,0:07:41,591894,41918,549976,0,19200,15.21,42.58,11.13,0.596,0.026,0.553,0.029,0.666,0.025,0.627,0.028,0,0.15,0.6,0.3362733
openai-api/gmicloud/openai/gpt-oss-120b,0:38:12,541695,41918,499777,0,0,69.01,213.94,34.41,0.622,0.026,0.58,0.028,0.68,0.025,0.647,0.028,0,0.05,0.25,0.12704015
openai-api/phala/openai/gpt-oss-120b,0:13:38,580921,42518,538403,0,0,26.94,86.62,18.96,0.608,0.026,0.58,0.028,0.663,0.025,0.64,0.028,0,0.1,0.49,0.26806927
openai-api/wandb/openai/gpt-oss-120b,0:05:40,568127,42518,525609,0,19200,10.92,31.45,8.16,0.616,0.026,0.58,0.028,0.68,0.025,0.653,0.027,0,0.15,0.6,0.3217431
